#Organism/Name TaxID
Microcebus murinus
Dictyocaulus viviparus
Oesophagostomum dentatum
Limulus polyphemus
Priapulus caudatus
Strigamia maritima
Bubalus bubalis
Galeopterus variegatus
Microsporum canis
Trichophyton equinum
Trichophyton tonsurans
Trichophyton rubrum
Nannizzia gypsea
Mortierella verticillata
Enterocytozoon bieneusi
Melitaea cinxia
Ascogregarina taiwanensis
Hemiselmis andersenii
Bigelowiella natans
Verticillium dahliae
Blumeria graminis
Heterodera glycines
Cryptosporidium muris
Moniliophthora perniciosa
Agaricus bisporus
Daucus carota
Alternaria brassicicola
Diaphorina citri
Verticillium albo-atrum
Trichophyton benhamiae
Haematobia irritans
Vicugna pacos
Choloepus hoffmanni
Pleurotus ostreatus
Beauveria bassiana
Beauveria brongniartii
Jatropha curcas
Rhodotorula graminis
Serpula lacrymans
Candida parapsilosis
Nosema ceranae
Varroa destructor
Aspergillus carbonarius
Acanthocheilonema viteae
Puccinia triticina
Cucumis sativus
Colletotrichum graminicola
Gorilla gorilla
Eucalyptus grandis
Amaranthus tuberculatus
Metarhizium anisopliae
Tuber melanosporum
Phanerochaete carnosa
Magnaporthiopsis poae
Hamiltosporidium tvaerminnensis
Pseudogymnoascus destructans
Sordaria macrospora
Schizosaccharomyces cryophilus
Trichophyton verrucosum
Micromonas sp.
Artemisia annua
Grosmannia clavigera
Fusarium proliferatum
Trichoderma harzianum
Metarhizium acridum
Zygosaccharomyces bisporus
Lachancea fermentati
Zygosaccharomyces bailii
Procavia capensis
Puccinia striiformis
Microbotryum violaceum
Epichloe festucae
Mchenga conophoros
Encephalitozoon intestinalis
Cavenderia fasciculata
Bipolaris maydis
Wuchereria bancrofti
Mayetiola destructor
Hyaloperonospora arabidopsidis
Anopheles darlingi
Labeotropheus fuelleborni
Melanochromis auratus
Maylandia zebra
Rhamphochromis esox
Nothobranchius furzeri
Nothobranchius kuhntae
Scophthalmus maximus
Tachysurus fulvidraco
Clonorchis sinensis
Acropora millepora
Anopheles stephensi
Dicentrarchus labrax
Gadus morhua
Zostera marina
Phoenix dactylifera
